職員ID,基本職務内容,重要ミッション,主要数値目標,目標値
24,委員会活動・係分担表・行事計画の業務に関すること,,,
24,施設・法人の活動を理解すること,,,
24,経験を活かし、資格取得に励むこと,,,
25,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
25,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
25,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
25,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
25,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
25,個人情報保護に関すること,,,
25,委員会活動・係分担表・行事計画の業務に関すること,,,
25,介護福祉士,,,
26,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
26,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
26,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
26,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
26,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
26,個人情報保護に関すること,,,
26,委員会活動・係分担表・行事計画の業務に関すること,,,
26,介護福祉士,,,
27,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,日々の直接支援において法人理念を体現し、利用者の日中生活の充実（余暇・外出等）を図ることで、生活介護稼働率の向上と、本人・保護者からの信頼による施設入所の継続利用（90%超の維持）を支え、ルンビニー苑の事業基盤を強固にする。,,
27,個別支援計画に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
27,ケース記録に関すること（サービス管理責任者の指示を受け、個別支援計画に関する記録状況や、計画の経過、見直し等をサポートする）,,,
27,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
27,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
27,個人情報保護に関すること,,,
27,委員会活動・係分担表・行事計画の業務に関すること,,,
27,法人や施設業務を理解する,,,
27,社会福祉士,,,
28,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,施設内外の徹底した清掃・衛生管理と丁寧な設備保全を遂行することで、短期入所の利用検討者への第一印象を改善し、低迷する稼働率（25.5%）の回復を環境面から支援するとともに、高額な修繕費支出（約190万円）を未然に防ぐ維持管理を行う。,,
28,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
28,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
28,個人情報保護に関すること,,,
28,施設内外の清掃に関すること,,,
28,利用者の衣類等クリーニングに関する事,,,
29,支援全般に関すること（生活介護事業・施設支援事業のサービス提供者として、利用者の生活向上のために努める）,施設内外の徹底した清掃・衛生管理と丁寧な設備保全を遂行することで、短期入所の利用検討者への第一印象を改善し、低迷する稼働率（25.5%）の回復を環境面から支援するとともに、高額な修繕費支出（約190万円）を未然に防ぐ維持管理を行う。,,
29,日中支援・余暇支援・外出支援を利用者の日中生活を充実させること,,,
29,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
29,個人情報保護に関すること,,,
29,施設内外の清掃に関すること,,,
29,利用者の衣類等クリーニングに関する事,,,
30,献立表の作成、食材の発注及び検食に関すること,"食材発注プロセスの抜本的な見直しにより、前年比114.7%と高騰した給食費支出（約1,615万円）を予算内に収めるためのコストコントロールを断行しつつ、し好調査に基づいた高品質な食事提供を両立させ、利用者の健康と満足度を維持する。",食材発注プロセスの抜本的な見直し,
30,給食にかかる各種台帳の記録、整理保管に関すること,,,
30,給食、調理及び配膳に関すること,,,
30,利用者の栄養指導及びし好調査に関すること(利用者個々の食事状況や健康状況に応じた食事の提供を行う),,,
30,調理室、配膳室の衛生管理に関すること,,,
30,保存食の管理に関すること,,,
30,冷凍庫、蔵食品保管等の管理に関すること,,,
30,調理用機器、食品等の管理に関すること,,,
30,殺菌等の管理及び手洗い励行、残菜排油空容器に関すること,,,
30,職員の細菌検査に関すること,,,
30,備蓄食品の保管、管理に関すること,,,
30,群馬県知的障害者福祉協会　給食部会【書記】,,,
30,委員会活動・係分担表・行事計画の業務に関すること,,,
30,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
30,個人情報保護に関すること,,,
30,後輩の管理栄養士・調理師の業務指導にあたること。,,,
31,献立表の作成、食材の発注及び検食に関すること,主任管理栄養士と連携し、日々の献立作成と食材発注におけるロスを最小化することで給食費の効率化を図り、利用者個々の健康状態に最適化された食事提供を通じて、施設全体のケアの質向上と、健全な収支バランスの確保に貢献する。,,
31,給食にかかる各種台帳の記録、整理保管に関すること,,,
31,給食、調理及び配膳に関すること,,,
31,利用者の栄養指導及びし好調査に関すること(利用者個々の食事状況や健康状況に応じた食事の提供を行う),,,
31,調理室、配膳室の衛生管理に関すること,,,
31,保存食の管理に関すること,,,
31,冷凍庫、蔵食品保管等の管理に関すること,,,
31,調理用機器、食品等の管理に関すること,,,
31,殺菌等の管理及び手洗い励行、残菜排油空容器に関すること,,,
31,職員の細菌検査に関すること,,,
31,備蓄食品の保管、管理に関すること,,,
31,群馬県知的障害者福祉協会　給食部会,,,
31,委員会活動・係分担表・行事計画の業務に関すること,,,
31,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
31,個人情報保護に関すること,,,
32,調理師の総括に関すること（管理者の命令を受け、調理師の役割を遂行できるよう、管理栄養士と連携し調理師部門を統括すること),衛生的な調理と配膳を徹底し、残菜ロスの削減による給食費支出の抑制に現場レベルで取り組むとともに、行事食等の工夫により利用者の食の喜びを最大化し、入居・利用継続率（生活介護84.6%等）の維持・向上を食の側面から支える。,,
32,給食、調理、配膳に関すること,,,
32,利用者個々の食事状況や健康状況に応じた食事の提供を行う,,,
32,その他、調理全般業務に関すること,,,
32,群馬県知的障害者福祉協会　給食部会,,,
32,委員会・係分担表・行事計画の業務に関すること,,,
32,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
32,個人情報保護に関すること,,,
33,給食、調理、配膳に関すること,衛生的な調理と配膳を徹底し、残菜ロスの削減による給食費支出の抑制に現場レベルで取り組むとともに、行事食等の工夫により利用者の食の喜びを最大化し、入居・利用継続率（生活介護84.6%等）の維持・向上を食の側面から支える。,,
33,利用者個々の食事状況や健康状況に応じた食事の提供を行う,,,
33,その他、調理全般業務に関すること,,,
33,群馬県知的障害者福祉協会　給食部会,,,
33,委員会・係分担表・行事計画の業務に関すること,,,
33,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
33,個人情報保護に関すること,,,
34,給食、調理、配膳に関すること,衛生的な調理と配膳を徹底し、残菜ロスの削減による給食費支出の抑制に現場レベルで取り組むとともに、行事食等の工夫により利用者の食の喜びを最大化し、入居・利用継続率（生活介護84.6%等）の維持・向上を食の側面から支える。,,
34,利用者個々の食事状況や健康状況に応じた食事の提供を行う,,,
34,その他、調理全般業務に関すること,,,
34,係分担表・行事計画の業務に関すること,,,
34,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
34,個人情報保護に関すること,,,
35,給食、調理、配膳に関すること,衛生的な調理と配膳を徹底し、残菜ロスの削減による給食費支出の抑制に現場レベルで取り組むとともに、行事食等の工夫により利用者の食の喜びを最大化し、入居・利用継続率（生活介護84.6%等）の維持・向上を食の側面から支える。,,
35,利用者個々の食事状況や健康状況に応じた食事の提供を行う,,,
35,その他、調理全般業務に関すること,,,
35,係分担表・行事計画の業務に関すること,,,
35,人権擁護・虐待防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
35,個人情報保護に関すること,,,
36,管理者・副管理者の指示を受け相談支援事業所内の統一を図ること,"基幹相談支援センターにおける中核業務を遂行しつつ、赤字状態にある自所の相談支援事業（当期活動増減差額-615,641円）の収支改善に向けた連携体制を強化し、ルンビニー苑本体の短期入所（25.5%）等の空床を埋めるための地域連携を加速させる。",,
36,前橋市基幹相談センターにて業務を遂行する事。,,,
36,総合的・専門的な相談の実施,,,
36,地域の相談支援体制強化の取組,,,
36,地域の相談事業者への専門的な指導助言,,,
36,地域の相談機関との連携強化,,,
36,地域移行・地域定着の促進への取組,,,
36,権利擁護・虐待の防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
36,福祉サービス(情報提供・相談等)の利用援助,,,
36,社会資源を活用するための支援,,,
36,自立支援協議会の役割の遂行,,,
36,基幹相談支援センター業務を理解し、習得すること。,,,
36,地域交流に関すること,,,
37,管理者・副管理者の指示を受け相談支援事業所内の統一を図ること,現在の相談件数（成人38件、児童8件）を戦略的に増加させ、計画相談支援および障害児相談支援（計約850万円の収益）の最大化を図ることで、事業単体の黒字化を目指し、地域移行・定着支援の促進を通じてルンビニー苑全体の社会的価値と収益性を高める。,,
37,赤城野荘障害者相談支援事業所にて業務を遂行する事。,,,
37,総合的な相談支援の実施(情報提供、相談、アセスメント、ケア計画作成、サービス調整、モニタリング、個別ケース会議等),,,
37,社会資源を活用するための支援　各種支援施策に関する助言指導,,,
37,社会生活力を高めるための支援  人間関係、健康管理、金銭管理等,,,
37,福祉サービスの利用援助,,,
37,地域の自立支援協議会への参加,,,
37,地域移行・地域定着の促進への取組,,,
37,権利擁護・虐待の防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
37,地域交流に関すること,,,
37,社会福祉士+社会福祉士実習指導者・精神保健福祉士,,,
38,管理者・副管理者の指示を受け相談支援事業所内の統一を図ること,現在の相談件数（成人38件、児童8件）を戦略的に増加させ、計画相談支援および障害児相談支援（計約850万円の収益）の最大化を図ることで、事業単体の黒字化を目指し、地域移行・定着支援の促進を通じてルンビニー苑全体の社会的価値と収益性を高める。,,
38,赤城野荘障害者相談支援事業所にて業務を遂行する事。,,,
38,総合的な相談支援の実施(情報提供、相談、アセスメント、ケア計画作成、サービス調整、モニタリング、個別ケース会議等),,,
38,社会資源を活用するための支援　各種支援施策に関する助言指導,,,
38,社会生活力を高めるための支援  人間関係、健康管理、金銭管理等,,,
38,福祉サービスの利用援助,,,
38,地域の自立支援協議会への参加,,,
38,地域移行・地域定着の促進への取組,,,
38,権利擁護・虐待の防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
38,地域交流に関すること,,,
38,社会福祉士,,,
39,管理者・副管理者の指示を受け相談支援事業所内の統一を図ること,現在の相談件数（成人38件、児童8件）を戦略的に増加させ、計画相談支援および障害児相談支援（計約850万円の収益）の最大化を図ることで、事業単体の黒字化を目指し、地域移行・定着支援の促進を通じてルンビニー苑全体の社会的価値と収益性を高める。,,
39,赤城野荘障害者相談支援事業所にて業務を遂行する事。,,,
39,総合的な相談支援の実施(情報提供、相談、アセスメント、ケア計画作成、サービス調整、モニタリング、個別ケース会議等),,,
39,社会資源を活用するための支援　各種支援施策に関する助言指導,,,
39,社会生活力を高めるための支援  人間関係、健康管理、金銭管理等,,,
39,福祉サービスの利用援助,,,
39,地域の自立支援協議会への参加,,,
39,地域移行・地域定着の促進への取組,,,
39,権利擁護・虐待の防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
39,地域交流に関すること,,,
40,管理者・副管理者の指示を受け相談支援事業所内の統一を図ること,現在の相談件数（成人38件、児童8件）を戦略的に増加させ、計画相談支援および障害児相談支援（計約850万円の収益）の最大化を図ることで、事業単体の黒字化を目指し、地域移行・定着支援の促進を通じてルンビニー苑全体の社会的価値と収益性を高める。,,
40,赤城野荘障害者相談支援事業所にて業務を遂行する事。,,,
40,社会資源を活用するための支援　各種支援施策に関する助言指導,,,
40,社会生活力を高めるための支援  人間関係、健康管理、金銭管理等,,,
40,福祉サービスの利用援助,,,
40,地域移行・地域定着の促進への取組,,,
40,権利擁護・虐待の防止・身体拘束に関すること（利用者の人権を守り、虐待防止に努め、身体拘束の削減に努める）,,,
40,地域交流に関すること,,,
